timestamp,open,high,low,close,volume
2018-07-03,1149.4200,1149.9100,1114.4300,1116.2800,822394
2018-07-02,1115.3500,1142.9900,1106.6000,1142.1100,1161040
2018-06-29,1132.3100,1141.3600,1127.0200,1129.1900,1578116
2018-06-28,1112.3900,1134.0000,1106.0700,1126.7800,1486675
2018-06-27,1136.0000,1146.2100,1116.7000,1116.9400,1726866
2018-06-26,1144.1400,1146.8700,1129.0000,1132.6200,1734414
2018-06-25,1155.0000,1155.9900,1119.9000,1139.2800,2884131
2018-06-22,1171.4900,1175.0000,1159.6500,1169.2900,1711003
2018-06-21,1185.5100,1190.3300,1163.4800,1169.4400,2248277
2018-06-20,1183.3000,1201.4900,1182.0300,1184.0700,2584260
2018-06-19,1170.1100,1182.8100,1161.6100,1178.6900,2364127
2018-06-18,1152.6900,1184.1300,1151.0000,1183.5800,1651913
2018-06-15,1159.9200,1163.9100,1153.6900,1159.2700,2221891
2018-06-14,1152.2100,1165.9900,1150.6000,1160.1100,1771120
2018-06-13,1152.2800,1155.6400,1143.3800,1144.2300,1715074
2018-06-12,1141.0200,1148.7500,1141.0200,1148.1900,1304612
2018-06-11,1132.9400,1147.7400,1131.4000,1140.9000,1239770
2018-06-08,1131.2100,1138.7800,1123.2300,1132.7100,1364226
2018-06-07,1144.5800,1145.8700,1126.1200,1134.4200,1805388
2018-06-06,1152.7700,1154.7100,1136.3200,1146.9500,1746719
2018-06-05,1154.6600,1161.1000,1147.4600,1151.0200,1648222
2018-06-04,1138.5000,1157.8600,1137.0000,1153.0400,2237701
2018-06-01,1112.8700,1138.1600,1112.0100,1135.0000,3160100
2018-05-31,1082.0000,1110.0000,1078.0000,1100.0000,3968362
2018-05-30,1073.4800,1078.9900,1066.5500,1077.4700,1434282
2018-05-29,1076.0000,1081.3400,1063.0800,1068.0700,1803805
2018-05-25,1086.5500,1089.5700,1082.6000,1084.0800,1111161
2018-05-24,1086.9000,1087.1200,1072.3000,1085.4500,1030194
2018-05-23,1070.0000,1088.0000,1066.9600,1085.9600,1186998
2018-05-22,1089.8000,1091.8000,1072.2600,1075.3100,1111299
2018-05-21,1079.0000,1093.3000,1078.0000,1084.0100,1258999
2018-05-18,1066.0000,1073.7300,1064.6800,1069.6400,1774149
2018-05-17,1081.4600,1091.0000,1076.4200,1081.2600,1286907
2018-05-16,1085.0900,1094.3800,1081.6300,1084.0900,1281406
2018-05-15,1096.9000,1099.1200,1078.7800,1084.8700,1786926
2018-05-14,1105.5700,1118.1500,1104.8000,1106.6000,1966893
2018-05-11,1100.4100,1109.0100,1097.2200,1103.3800,1525218
2018-05-10,1095.0000,1109.4100,1093.8800,1105.4700,1820676
2018-05-09,1064.1000,1094.0000,1062.1100,1088.9500,2357979
2018-05-08,1064.6200,1065.2300,1051.6400,1058.5900,1301524
2018-05-07,1053.8900,1065.0000,1050.2700,1059.4600,1719971
2018-05-04,1019.6100,1051.8800,1018.0500,1051.0000,1844600
2018-05-03,1025.3700,1030.6900,1007.8900,1026.3000,1964066
2018-05-02,1034.0000,1043.9800,1023.1600,1026.0500,1734872
2018-05-01,1016.3000,1041.7300,1010.6100,1040.7500,1766256
2018-04-30,1034.4200,1038.3700,1018.3000,1018.5800,1724632
2018-04-27,1045.5400,1051.6900,1027.5900,1031.4500,2037263
